@vw2 1.3
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = a pre-1.2 record OR a shared-interior recipe (one engine serves both layouts - stamping a layout from the other door's timing would manufacture fake cells), served to concrete-lay requests as the fallback tier
@cell t=c2c n=128x64 q=1 ord=nat place=* | rowplan=64 rowvars=flat rowdif=1 colplan=4.8.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=11857.4 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:22
@cell t=c2c n=512x16 q=1 ord=nat place=* | rowplan=16 rowvars=flat rowdif=1 colplan=8.8.8 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=10852.0 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:23
@cell t=c2c n=256x32 q=1 ord=nat place=* | rowplan=32 rowvars=flat rowdif=1 colplan=4.16.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=12277.5 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:24
@cell t=c2c n=128x128 q=1 ord=nat place=* | rowplan=16.8 rowvars=flat.t1s rowdif=0 colplan=4.4.8 colvars=log3.log3.flat coldif=1 b=8 | ran=1 ns=33479.5 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:25
@cell t=c2c n=256x64 q=1 ord=nat place=* | rowplan=4.16 rowvars=log3.flat rowdif=1 colplan=4.16.4 colvars=flat.t1s.t1s coldif=0 b=8 | ran=1 ns=33175.4 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:26
@cell t=c2c n=512x64 q=1 ord=nat place=* | rowplan=64 rowvars=flat rowdif=1 colplan=4.4.32 colvars=log3.log3.flat coldif=1 b=8 | ran=1 ns=55867.2 metric=fwd1 units=ns src=migrated from=fft2d_c2c_wisdom.txt:27
@cell t=r2c n=256x256 q=1 ord=* place=* | rowplan=8.16 rowvars=log3.flat rowdif=1 colplan=8.32 colvars=flat.t1s coldif=0 b=8 k_pad=132 | ran=1 ns=105126.7 metric=fwd1 units=ns src=migrated from=fft2d_r2c_wisdom.txt:3
@cell t=r2c n=64x64 q=1 ord=* place=* | rowplan=32 rowvars=flat rowdif=1 colplan=8.8 colvars=flat.flat coldif=1 b=8 k_pad=36 | ran=1 ns=5480.3 metric=fwd1 units=ns src=migrated from=fft2d_r2c_wisdom.txt:4
@cell t=r2c n=128x128 q=1 ord=* place=* | rowplan=8.8 rowvars=log3.flat rowdif=1 colplan=8.16 colvars=flat.t1s coldif=0 b=8 k_pad=68 | ran=1 ns=22133.6 metric=fwd1 units=ns src=migrated from=fft2d_r2c_wisdom.txt:5
@cell t=r2c n=512x512 q=1 ord=* place=* | rowplan=16.16 rowvars=flat.t1s rowdif=0 colplan=16.32 colvars=flat.t1s coldif=0 b=8 k_pad=260 | ran=1 ns=565275.0 metric=fwd1 units=ns src=migrated from=fft2d_r2c_wisdom.txt:6
@cell t=r2c n=128x64 q=1 ord=* place=* | rowplan=4.8 rowvars=log3.flat rowdif=1 colplan=8.16 colvars=log3.flat coldif=1 b=8 k_pad=36 | ran=1 ns=10882.8 metric=fwd1 units=ns src=migrated from=fft2d_r2c_wisdom.txt:7
@cell t=c2r n=64x64 q=1 ord=* place=* | rowplan=32 rowvars=flat rowdif=1 colplan=8.8 colvars=flat.flat coldif=1 b=8 k_pad=36 | ran=1 ns=4608.8 metric=fwd1 units=ns src=migrated from=fft2d_c2r_wisdom.txt:3
@cell t=c2r n=128x128 q=1 ord=* place=* | rowplan=4.16 rowvars=log3.flat rowdif=1 colplan=8.16 colvars=flat.flat coldif=1 b=8 k_pad=68 | ran=1 ns=19949.2 metric=fwd1 units=ns src=migrated from=fft2d_c2r_wisdom.txt:4
@cell t=c2r n=256x256 q=1 ord=* place=* | rowplan=16.8 rowvars=flat.flat rowdif=1 colplan=8.32 colvars=log3.flat coldif=1 b=8 k_pad=132 | ran=1 ns=100650.0 metric=fwd1 units=ns src=migrated from=fft2d_c2r_wisdom.txt:5
@cell t=c2r n=512x512 q=1 ord=* place=* | rowplan=16.16 rowvars=flat.t1s rowdif=0 colplan=16.32 colvars=flat.t1s coldif=0 b=8 k_pad=260 | ran=1 ns=567687.5 metric=fwd1 units=ns src=migrated from=fft2d_c2r_wisdom.txt:6
@cell t=c2r n=128x64 q=1 ord=* place=* | rowplan=32 rowvars=flat rowdif=1 colplan=8.16 colvars=flat.t1s coldif=0 b=8 k_pad=36 | ran=1 ns=9773.0 metric=fwd1 units=ns src=migrated from=fft2d_c2r_wisdom.txt:7
@cell t=c2c n=64x64 q=1 ord=scr place=oop lay=il | chain=8.8 wl=8 tf=1 ro=0 | ran=1 ns=4600.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=128x128 q=1 ord=scr place=oop lay=il | chain=4.4.8 wl=128 tf=1 ro=0 | ran=1 ns=58234.4 metric=fwd1 units=ns src=race date=2026-08-25
@cell t=c2c n=256x256 q=1 ord=scr place=oop lay=il | chain=4.4.4.4 wl=256 tf=1 ro=0 | ran=1 ns=83760.0 metric=fwd1 units=ns src=race date=2026-08-25
@cell t=c2c n=512x512 q=1 ord=scr place=oop lay=il | chain=8.4.4.4 wl=128 tf=1 ro=0 | ran=1 ns=130700.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=1024x1024 q=1 ord=scr place=oop lay=il | chain=4.8.4.8 wl=16 tf=1 ro=0 | ran=1 ns=439200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=16x4096 q=1 ord=scr place=oop lay=il | chain=4.4 wl=16 tf=1 ro=0 | ran=1 ns=302186.7 metric=fwd1 units=ns src=race date=2026-08-25
@cell t=c2c n=4096x16 q=1 ord=scr place=oop lay=il | chain=8.64.8 wl=16 tf=1 ro=0 forms=-.b88.- | ran=1 ns=63800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=32x1024 q=1 ord=scr place=oop lay=il | chain=8.4 wl=8 tf=1 ro=0 | ran=1 ns=26800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=64x256 q=1 ord=scr place=oop lay=il | chain=4.4.4 wl=8 tf=1 ro=0 | ran=1 ns=22200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=4096x64 q=1 ord=scr place=oop lay=il | chain=32.4.4.8 wl=32 tf=1 ro=0 forms=b48.-.-.- | ran=1 ns=157500.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=8192x64 q=1 ord=scr place=oop lay=il | chain=64.4.32 wl=256 tf=1 ro=0 forms=b88.-.b48 | ran=1 ns=322800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=16384x64 q=1 ord=scr place=oop lay=il | chain=32.16.32 wl=32 tf=1 ro=1 forms=b48.-.b48 | ran=1 ns=794300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=32768x64 q=1 ord=scr place=oop lay=il | chain=64.16.32 wl=32 tf=1 ro=0 forms=b88.-.b84 | ran=1 ns=1754900.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=64x64 q=1 ord=scr place=oop lay=il | chain=64 rw=0 wl=0 rw_c2r=0 wl_c2r=0 forms=b88 | ran=1 ns=4000.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=256x256 q=1 ord=scr place=oop lay=il | chain=64.4 rw=0 wl=8 rw_c2r=0 wl_c2r=0 forms=b88.- | ran=1 ns=69100.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=512x512 q=1 ord=scr place=oop lay=il | chain=64.8 rw=0 wl=64 rw_c2r=0 wl_c2r=64 forms=b88.- | ran=1 ns=280000.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=1024x1024 q=1 ord=scr place=oop lay=il | chain=64.16 rw=0 wl=128 rw_c2r=0 wl_c2r=0 forms=b88.- | ran=1 ns=1469400.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=16x4096 q=1 ord=scr place=oop lay=il | chain=16 rw=0 wl=0 rw_c2r=0 wl_c2r=0 | ran=1 ns=66800.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=32x1024 q=1 ord=scr place=oop lay=il | chain=32 rw=0 wl=0 rw_c2r=0 wl_c2r=0 forms=b48 | ran=1 ns=31500.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=64x256 q=1 ord=scr place=oop lay=il | chain=64 rw=0 wl=0 rw_c2r=0 wl_c2r=0 forms=b88 | ran=1 ns=13300.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=4096x16 q=1 ord=scr place=oop lay=il | chain=64.64 rw=64 wl=128 rw_c2r=32 wl_c2r=128 forms=b88.b88 | ran=1 ns=104200.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=4096x64 q=1 ord=scr place=oop lay=il | chain=64.64 rw=0 wl=64 rw_c2r=0 wl_c2r=64 forms=b88.b88 | ran=1 ns=395500.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=r2c n=8192x64 q=1 ord=scr place=oop lay=il | chain=64.32.4 rw=0 wl=128 rw_c2r=0 wl_c2r=128 forms=b88.b84.- | ran=1 ns=801600.0 metric=fwd1 units=ns src=race date=2026-08-26
@cell t=c2c n=64x16 q=1 ord=scr place=oop lay=il | chain=4.16 wl=64 tf=1 ro=0 | ran=1 ns=1218.4 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=128x64 q=1 ord=scr place=oop lay=il | chain=4.4.8 wl=32 tf=1 ro=0 | ran=1 ns=7400.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=128x128 q=1 ord=scr place=oop lay=il | chain=32.4 rw=0 wl=8 rw_c2r=0 wl_c2r=8 forms=b48.- | ran=1 ns=17200.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=135x64 q=1 ord=scr place=oop lay=il | chain=5.3.9 wl=27 tf=1 ro=0 blu=0 | ran=1 ns=11377.4 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=135x64 q=1 ord=scr place=oop lay=il | chain=27.5 blu=0 rw=0 wl=0 rw_c2r=0 wl_c2r=5 | ran=1 src=race date=2026-09-02
@cell t=c2c n=256x100 q=1 ord=scr place=oop lay=il | chain=8.4.8 | ran=1 ns=19100.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=512x64 q=1 ord=scr place=oop lay=il | chain=4.4.4.8 | ran=1 ns=29300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=127x100 q=1 ord=scr place=oop lay=il | chain=8.4.8 wl=0 tf=0 ro=0 blu=256 | ran=1 ns=66400.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=127x100 q=1 ord=scr place=oop lay=il | chain=8.4.8 rw=0 wl=0 blu=256 | ran=1 ns=29300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=131x64 q=1 ord=scr place=oop lay=il | chain=4.4.4.8 wl=0 tf=0 ro=0 blu=512 | ran=1 ns=85300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=2048x512 q=1 ord=scr place=oop lay=il | chain=8.8.4.8 wl=128 tf=1 ro=0 | ran=1 ns=266700.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1021x512 q=1 ord=scr place=oop lay=il | chain=8.8.4.8 wl=0 tf=0 ro=0 blu=2048 | ran=1 ns=1304800.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=r2c n=1021x512 q=1 ord=scr place=oop lay=il | chain=8.8.4.8 rw=0 wl=0 blu=2048 | ran=1 ns=1828300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=509x1024 q=1 ord=scr place=oop lay=il | chain=4.8.4.8 wl=0 tf=0 ro=0 blu=1024 | ran=1 ns=1276300.0 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=1024x64 q=1 ord=scr place=oop lay=il | chain=8.8.16 wl=16 tf=1 ro=0 | ran=1 ns=89753.3 metric=fwd1 units=ns src=race date=2026-09-02
@cell t=c2c n=256x1024 q=1 ord=scr place=oop lay=il | chain=4.4.4.4 wl=64 tf=1 ro=0 | ran=1 ns=1290400.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x256 q=1 ord=scr place=oop lay=il | chain=4.8.8.4 wl=16 tf=1 ro=0 | ran=1 ns=1299300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=256x2048 q=1 ord=scr place=oop lay=il | chain=4.8.8 wl=64 tf=1 ro=0 | ran=1 ns=227600.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x1024 q=1 ord=scr place=oop lay=il | chain=8.8.8 wl=64 tf=1 ro=0 | ran=1 ns=165400.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x512 q=1 ord=scr place=oop lay=il | chain=8.4.4.8 wl=128 tf=1 ro=0 | ran=1 ns=158200.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x256 q=1 ord=scr place=oop lay=il | chain=8.8.4.8 wl=256 tf=1 ro=0 | ran=1 ns=132900.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=256x4096 q=1 ord=scr place=oop lay=il | chain=8.4.8 wl=32 tf=1 ro=0 | ran=1 ns=264800.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x2048 q=1 ord=scr place=oop lay=il | chain=8.8.8 wl=64 tf=1 ro=0 | ran=1 ns=269000.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x256 q=1 ord=scr place=oop lay=il | chain=8.64.8 wl=512 tf=1 ro=0 forms=-.b88.- | ran=1 ns=364400.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=512x4096 q=1 ord=scr place=oop lay=il | chain=8.8.8 wl=8 tf=1 ro=0 | ran=1 ns=1085300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x2048 q=1 ord=scr place=oop lay=il | chain=4.8.4.8 wl=256 tf=1 ro=0 | ran=1 ns=1306500.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x1024 q=1 ord=scr place=oop lay=il | chain=8.8.4.8 wl=32 tf=1 ro=0 | ran=1 ns=637800.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x512 q=1 ord=scr place=oop lay=il | chain=16.4.8.8 wl=256 tf=1 ro=0 | ran=1 ns=830200.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=1024x4096 q=1 ord=scr place=oop lay=il | chain=8.4.4.8 wl=128 tf=1 ro=0 | ran=1 ns=5118300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x2048 q=1 ord=scr place=oop lay=il | chain=8.8.32 wl=32 tf=1 ro=0 forms=-.-.b84 | ran=1 ns=3157300.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=4096x1024 q=1 ord=scr place=oop lay=il | chain=16.4.8.8 wl=128 tf=1 ro=0 | ran=1 ns=3483000.0 metric=fwd1 units=ns src=race date=2026-09-15
@cell t=c2c n=2048x512 q=1 ord=nat place=oop lay=il | chain=8.8.4.8 wl=256 tf=1 ro=0 | ran=1 ns=470900.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=512x2048 q=1 ord=nat place=oop lay=il | chain=8.8.8 wl=256 tf=1 ro=0 | ran=1 ns=397000.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=1024x1024 q=1 ord=nat place=oop lay=il | chain=8.4.8.4 wl=64 tf=1 ro=0 | ran=1 ns=538200.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=2048x2048 q=1 ord=nat place=oop lay=il | chain=8.8.8.4 wl=256 tf=1 ro=1 | ran=1 ns=8029800.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=1024x4096 q=1 ord=nat place=oop lay=il | chain=8.4.8.4 wl=32 tf=1 ro=0 | ran=1 ns=7293500.0 metric=fwd1 units=ns src=race date=2026-09-16
@cell t=c2c n=2x2 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=11.4 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x4 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=12.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x8 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=17.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x16 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=27.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x32 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=3 sw=0 rbk=4 turn=0 csk=1 | ran=1 ns=43.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x64 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=80.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x128 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=162.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x256 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=322.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x512 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=1006.5 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x1024 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=2204.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x2048 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=4554.1 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x4096 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=9778.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=2x8192 q=1 ord=nat place=oop lay=il | chain=2 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=21259.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x2 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=12.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x4 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=15.4 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x8 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=2 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=22.8 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x16 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=3 sw=0 rbk=16 turn=0 csk=1 | ran=1 ns=41.0 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x32 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=3 sw=0 rbk=16 turn=0 csk=1 | ran=1 ns=74.7 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x64 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=3 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=152.9 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x128 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=323.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x256 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=698.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x512 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=0 | ran=1 ns=2022.3 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x1024 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=4251.6 metric=fwd1 units=ns src=race date=2026-09-24
@cell t=c2c n=4x2048 q=1 ord=nat place=oop lay=il | chain=4 wl=0 tf=0 ro=0 sw=0 rbk=8 turn=0 csk=1 | ran=1 ns=8720.5 metric=fwd1 units=ns src=race date=2026-09-24
